Item,Objetivos generales de la carrera (OC),Objetivos generales de la asignatura (OA),Objetivos específicos de la asignatura (OA),Contenidos Mínimos,Bibliografía de la materia,Actividades Didácticas,Supuestos Pedagógicos (SP),Régimen de evaluación y aprobación,Reglamento Académico Universidad
Objetivos generales de la carrera (OC),0,1,1,0,0,0,0,0,0
Objetivos generales de la asignatura (OA),0,0,1,0,0,0,0,0,0
Objetivos específicos de la asignatura (OA),0,0,0,1,0,1,0,0,0
Contenidos Mínimos,0,0,0,0,1,1,0,1,0
Bibliografía de la materia,0,0,0,0,0,1,0,0,0
Actividades Didácticas,0,0,0,0,0,0,0,1,0
Supuestos Pedagógicos (SP),0,0,0,0,0,1,0,1,0
Régimen de evaluación y aprobación,0,0,0,0,0,0,0,0,0
Reglamento Académico Universidad,0,0,0,0,0,0,0,1,0
